source,song_name,artist,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Description,Others,Useless
envato,Psy Trance Progressive,Eugene_Barduja,Vigorous,"extreme, fantastic, groove","action, cars, club, cosmos, drive","bass, beat, dj","dance, edm, electronic",135.0,"A high energy techno loop with a strong bassline, a fat synth lead and a punchy beat. Great for sports, action, or any high energy media.",loop,
envato,Tango,DanielPapp,Humorous,"fiery, love, passion, passionate","commercial, eiffel, movie, scene",accordion,"tango, waltz",130.0,"A happy, uplifting and bouncy traditional Russian folk song featuring accordion.","france, french, paris","music, tower"
envato,A Halloween,DmitriyGurzhiy,Humorous,"bright, cheerful, fun, ghost, joyful, motivational, optimistic, playful, positive, smile, soft, spooky, uplifting, youthful","advertisement, cartoon, game, halloween, kids, short, video game","pizzicato, staccato, strings, xylophone",,145.0,"This track is perfect for creating a Halloween mood. It features a full orchestra, including strings, woodwinds, brass, and percussion. The music is fast-paced and energetic, with a driving rhythm and lots of dynamic changes. The sound is eerie and spooky, with a sense of suspense and tension. The track is ideal for use in movies, TV shows, video games, and other media that require a Halloween atmosphere.",melodic,"howls, pumpkin"
envato,Magical Fantasy Tale,SteelSound,Humorous,"cute, light, magic, playful, surprise, suspense","cartoons, commercials, disney, kids, movies, story telling","orchestra, woodwinds","children, cinematic, fantasy, movie music",118.0,"This is a playful and humorous classical music piece featuring clarinet, flute, and trumpet. The piece has a fast tempo and is suitable for use in comedic or playful scenes. It could be used in a film, TV show, or video game to add a comedic or playful element to the scene.",,"post score, spielberg, underscore"
envato,Fresh Catchy Pop Rock Anthem,PaBlikMM,Dreamy,"energetic, vibrant, powerful, catchy, dynamic, uplifting, fresh, youthful, rhythmic, inspiring, creative, motivating, exciting, bold, stylish, passionate, playful, bright, engaging, radiant, innovative, fun",driving,"guitar, percussion","anthem, poprock",175.0,"A catchy, upbeat, and energetic Indie Pop track with catchy guitars, uplifting melodies, groovy bass, and upbeat drums. Perfect for commercials, advertisements, YouTube videos, vlogs, travel videos, corporate projects, lifestyle videos, and more.","modern, melodic",crisp
envato,Ukulele Whistle (Loop),SoundtrackEmpire,Happy,"bouncy, catchy, cheerful, fun, happy, lighthearted, merry, positive, simple, upbeat","commercial, kids, tv ad","acoustic guitar, bells, clapping, claps, glockenspiel, guitar, hand clapping, piano, tambourine, ukulele","acoustic, children, pop",155.0,"A happy, upbeat, energetic, and fun royalty-free ukulele track with whistle, bass, claps, hand claps, ukulele, acoustic guitar, acoustic bass, and drums, best for ads, kids, pets, cooking, travel, vlogs, or family videos.","modern, popular","background, background music"
envato,Orchestral News Intro,Tomasz_Redman,Dreamy,"energetic, epic, powerful, solemn, uplifting","announcement, broadcast news, broadcasting, business, commercial, entertainment, evening news, event, financial, intro, logo, media, network, news, opener, opening, sport, tv",strings,corporate,125.0,"This is a dynamic and uplifting music track that features powerful strings, brass, and drums. The upbeat and energetic rhythm creates a positive and motivational mood that is perfect for use in commercials, advertising, corporate videos, business projects, presentations, promotions, and more.",global,"background, company, ident, report"
envato,Upbeat Happy Fun Logo,puremusic,Happy,"bouncy, bright, catchy, cheerful, energetic, fun, funny, happiness, happy, joyful, playful, positive, smile, sunny, upbeat, uplifting","commercial, happy logo, intro, kids, logo, summer, travel","claps, ukulele","acoustic, children",,"A positive, upbeat, cheerful, and happy acoustic folk track with ukulele, acoustic guitar, claps, whistling, bells, and piano. Perfect for advertising, commercials, YouTube videos, podcasts, vlogs, and more.","melody, youth",ident
envato,Happy Birthday In Paris,Music-Ideas,Dreamy,"cheerful, funny, happy, lively, playful, upbeat","ads, advertising, birthday, broadway, casino, comedy, commercial, intro, lateshow, nightshow, opening, realityshow, series, tv","accordion, piano, trumpets","bigband, jazz, retro",120.0,"A fun and lively Latin track featuring a variety of traditional instruments such as the trumpet, saxophone, and piano. The energetic and upbeat rhythm creates a festive and celebratory mood, making it perfect for use in commercials, advertisements, and party scenes.","france, french, paris",Emily
envato,Funny Game Loop,honey_lemon,Humorous,"comical, fun, funny, laugh, smile, soft","cartoon, comedy, comic, kids, short, summer, tv",bells,"acoustic, children, folk, jazz",170.0,"A casual, jazzy, swing music with vibraphone, piano, bass, saxophone, guitar, trombone, and claps. It is perfect for background music, advertising, corporate, commercial, radio, TV, podcast, games, YouTube, vlogs, and more.",loop,"how, stand up"
envato,Classic Waltz Ident,_Blacksmith_,Serious,"beautiful, calm, dramatic, dreamy, elegant, emotional, happy, hopeful, inspiration, inspirational, inspiring, love, motivational, nostalgic, peaceful, positive, reflective, romantic, sad, sentimental, soft, tender, uplifting","commercial, film, wedding","piano, strings",cinematic,,"A beautiful, passionate, romantic and elegant waltz played by a string orchestra. The waltz has a slow tempo and is perfect for romantic scenes, love stories, weddings, or other special occasions.",,background
